country,total_cells,gsm,umts,lte,nr,population_millions,area_km2,latitude,longitude
Argentina,327143,55074,211738,60331,0,45.4,2780400,-34.6118,-58.3960
Bolivia,56487,11131,36367,8987,2,11.8,1098581,-16.2902,-63.5887
Brasil,1903025,330817,1268672,303366,170,215.3,8514877,-14.2350,-51.9253
Chile,208660,32244,140895,35521,0,19.1,756102,-35.6751,-71.5430
Colombia,285266,68817,178647,37798,2,51.5,1141748,4.7110,-74.0721
Ecuador,0,0,0,0,0,17.6,283561,-1.8312,-78.1834
Paraguay,0,0,0,0,0,7.3,406752,-23.4425,-58.4438
Perú,0,0,0,0,0,33.0,1285216,-9.1900,-75.0152
Uruguay,28974,6376,18716,3882,0,3.4,176215,-32.5228,-55.7658
Venezuela,101353,27667,69319,4108,0,28.4,916445,6.4238,-66.5897
